ID,target
TEST_00526,17.0
TEST_00527,10.0
TEST_00528,10.0
TEST_00529,2.0
TEST_00530,16.0
TEST_00531,11.0
TEST_00532,10.0
TEST_00533,10.0
TEST_00534,6.0
TEST_00535,10.0
TEST_00536,10.0
TEST_00537,10.0
TEST_00538,10.0
TEST_00539,10.0
TEST_00540,11.0
TEST_00541,11.0
TEST_00542,10.0
TEST_00543,11.0
TEST_00544,10.0
TEST_00545,10.0
TEST_00546,10.0
TEST_00547,10.0
TEST_00548,11.0
TEST_00549,11.0
TEST_00550,10.0
TEST_00551,3.0
TEST_00552,11.0
TEST_00553,9.0
TEST_00554,4.0
TEST_00555,2.0
TEST_00556,10.0
TEST_00557,18.0
TEST_00558,16.0
TEST_00559,10.0
TEST_00560,11.0
TEST_00561,11.0
TEST_00562,8.0
TEST_00563,16.0
TEST_00564,3.0
TEST_00565,11.0
TEST_00566,11.0
TEST_00567,10.0
TEST_00568,10.0
TEST_00569,10.0
TEST_00570,10.0
TEST_00571,10.0
TEST_00572,10.0
TEST_00573,10.0
TEST_00574,8.0
TEST_00575,10.0
TEST_00576,10.0
TEST_00577,11.0
TEST_00578,11.0
TEST_00579,5.0
TEST_00580,10.0
TEST_00581,10.0
TEST_00582,9.0
TEST_00583,10.0
TEST_00584,10.0
TEST_00585,11.0
TEST_00586,17.0
TEST_00587,16.0
TEST_00588,2.0
TEST_00589,10.0
TEST_00590,11.0
TEST_00591,11.0
TEST_00592,0.0
TEST_00593,10.0
TEST_00594,20.0
TEST_00595,10.0
TEST_00596,10.0
TEST_00597,14.0
TEST_00598,11.0
TEST_00599,9.0
TEST_00600,11.0
TEST_00601,10.0
TEST_00602,10.0
TEST_00603,8.0
TEST_00604,12.0
TEST_00605,10.0
TEST_00606,8.0
TEST_00607,11.0
TEST_00608,10.0
TEST_00609,10.0
TEST_00610,10.0
TEST_00611,10.0
TEST_00612,10.0
TEST_00613,10.0
TEST_00614,13.0
TEST_00615,10.0
TEST_00616,10.0
TEST_00617,11.0
TEST_00618,13.0
TEST_00619,10.0
TEST_00620,10.0
TEST_00621,10.0
TEST_00622,10.0
TEST_00623,10.0
TEST_00624,11.0
TEST_00625,10.0
TEST_00626,12.0
TEST_00627,2.0
TEST_00628,10.0
TEST_00629,14.0
TEST_00630,18.0
TEST_00631,11.0
TEST_00632,11.0
TEST_00633,2.0
TEST_00634,11.0
TEST_00635,3.0
TEST_00636,10.0
TEST_00637,11.0
TEST_00638,10.0
TEST_00639,8.0
TEST_00640,11.0
TEST_00641,8.0
TEST_00642,12.0
TEST_00643,10.0
TEST_00644,10.0
TEST_00645,10.0
TEST_00646,10.0
TEST_00647,10.0
TEST_00648,11.0
TEST_00649,10.0
TEST_00650,18.0
TEST_00651,10.0
TEST_00652,9.0
TEST_00653,12.0
TEST_00654,2.0
TEST_00655,9.0
TEST_00656,9.0
TEST_00657,10.0
TEST_00658,4.0
TEST_00659,10.0
TEST_00660,13.0
TEST_00661,10.0
TEST_00662,12.0
TEST_00663,10.0
TEST_00664,10.0
TEST_00665,18.0
TEST_00666,11.0
TEST_00667,2.0
TEST_00668,10.0
TEST_00669,10.0
TEST_00670,21.0
TEST_00671,9.0
TEST_00672,10.0
TEST_00673,11.0
TEST_00674,10.0
TEST_00675,10.0
TEST_00676,10.0
TEST_00677,10.0
TEST_00678,10.0
TEST_00679,8.0
TEST_00680,11.0
TEST_00681,3.0
TEST_00682,18.0
TEST_00683,10.0
TEST_00684,10.0
TEST_00685,9.0
TEST_00686,11.0
TEST_00687,10.0
TEST_00688,2.0
TEST_00689,10.0
TEST_00690,11.0
TEST_00691,3.0
TEST_00692,11.0
TEST_00693,10.0
TEST_00694,11.0
TEST_00695,11.0
TEST_00696,10.0
TEST_00697,7.0
TEST_00698,13.0
TEST_00699,2.0
TEST_00700,9.0
TEST_00701,8.0
TEST_00702,10.0
TEST_00703,6.0
TEST_00704,10.0
TEST_00705,15.0
TEST_00706,10.0
TEST_00707,11.0
TEST_00708,7.0
TEST_00709,11.0
TEST_00710,11.0
TEST_00711,8.0
TEST_00712,10.0
TEST_00713,11.0
TEST_00714,8.0
TEST_00715,10.0
TEST_00716,2.0
TEST_00717,11.0
TEST_00718,11.0
TEST_00719,11.0
TEST_00720,11.0
TEST_00721,10.0
TEST_00722,10.0
TEST_00723,10.0
TEST_00724,10.0
TEST_00725,11.0
TEST_00726,10.0
TEST_00727,10.0
TEST_00728,10.0
TEST_00729,11.0
TEST_00730,11.0
TEST_00731,12.0
TEST_00732,11.0
TEST_00733,9.0
TEST_00734,11.0
TEST_00735,10.0
TEST_00736,10.0
TEST_00737,10.0
TEST_00738,11.0
TEST_00739,11.0
TEST_00740,13.0
TEST_00741,10.0
TEST_00742,6.0
TEST_00743,11.0
TEST_00744,10.0
TEST_00745,11.0
TEST_00746,8.0
TEST_00747,10.0
TEST_00748,12.0
TEST_00749,11.0
TEST_00750,11.0
TEST_00751,9.0
TEST_00752,11.0
TEST_00753,9.0
TEST_00754,10.0
TEST_00755,10.0
TEST_00756,10.0
TEST_00757,11.0
TEST_00758,16.0
TEST_00759,11.0
TEST_00760,11.0
TEST_00761,11.0
TEST_00762,10.0
TEST_00763,11.0
TEST_00764,11.0
TEST_00765,11.0
TEST_00766,9.0
TEST_00767,8.0
TEST_00768,10.0
TEST_00769,9.0
TEST_00770,10.0
TEST_00771,10.0
TEST_00772,12.0
TEST_00773,10.0
TEST_00774,8.0
TEST_00775,11.0
TEST_00776,2.0
TEST_00777,11.0
TEST_00778,11.0
TEST_00779,11.0
TEST_00780,10.0
TEST_00781,11.0
TEST_00782,15.0
TEST_00783,8.0
TEST_00784,10.0
TEST_00785,3.0
TEST_00786,11.0
TEST_00787,10.0
TEST_00788,10.0
TEST_00789,2.0
TEST_00790,18.0
TEST_00791,14.0
TEST_00792,9.0
TEST_00793,10.0
TEST_00794,10.0
TEST_00795,10.0
TEST_00796,22.0
TEST_00797,11.0
TEST_00798,10.0
TEST_00799,10.0
TEST_00800,10.0
TEST_00801,10.0
TEST_00802,11.0
TEST_00803,10.0
TEST_00804,11.0
TEST_00805,10.0
TEST_00806,10.0
TEST_00807,11.0
TEST_00808,10.0
TEST_00809,10.0
TEST_00810,10.0
TEST_00811,11.0
TEST_00812,1.0
TEST_00813,10.0
TEST_00814,11.0
TEST_00815,11.0
TEST_00816,10.0
TEST_00817,11.0
TEST_00818,11.0
TEST_00819,12.0
TEST_00820,11.0
TEST_00821,11.0
TEST_00822,8.0
TEST_00823,11.0
TEST_00824,10.0
TEST_00825,12.0
TEST_00826,11.0
TEST_00827,10.0
TEST_00828,11.0
TEST_00829,10.0
TEST_00830,12.0
TEST_00831,10.0
TEST_00832,10.0
TEST_00833,6.0
TEST_00834,10.0
TEST_00835,12.0
TEST_00836,11.0
TEST_00837,12.0
TEST_00838,10.0
TEST_00839,7.0
TEST_00840,10.0
TEST_00841,3.0
TEST_00842,11.0
TEST_00843,12.0
TEST_00844,3.0
TEST_00845,10.0
TEST_00846,11.0
TEST_00847,12.0
TEST_00848,10.0
TEST_00849,12.0
TEST_00850,8.0
TEST_00851,10.0
TEST_00852,10.0
TEST_00853,5.0
TEST_00854,10.0
TEST_00855,11.0
TEST_00856,11.0
TEST_00857,10.0
TEST_00858,10.0
TEST_00859,11.0
TEST_00860,11.0
TEST_00861,10.0
TEST_00862,10.0
TEST_00863,11.0
TEST_00864,10.0
TEST_00865,10.0
TEST_00866,10.0
TEST_00867,10.0
TEST_00868,10.0
TEST_00869,10.0
TEST_00870,10.0
TEST_00871,10.0
TEST_00872,8.0
TEST_00873,3.0
TEST_00874,16.0
TEST_00875,11.0
TEST_00876,16.0
TEST_00877,11.0
TEST_00878,3.0
TEST_00879,10.0
TEST_00880,10.0
TEST_00881,5.0
TEST_00882,10.0
TEST_00883,10.0
TEST_00884,10.0
TEST_00885,2.0
TEST_00886,16.0
TEST_00887,7.0
TEST_00888,14.0
TEST_00889,10.0
TEST_00890,11.0
TEST_00891,10.0
TEST_00892,9.0
TEST_00893,8.0
TEST_00894,10.0
TEST_00895,11.0
TEST_00896,11.0
TEST_00897,11.0
TEST_00898,4.0
TEST_00899,10.0
TEST_00900,9.0
TEST_00901,11.0
TEST_00902,5.0
TEST_00903,10.0
TEST_00904,5.0
TEST_00905,13.0
TEST_00906,7.0
TEST_00907,9.0
TEST_00908,11.0
TEST_00909,10.0
TEST_00910,11.0
TEST_00911,12.0
TEST_00912,1.0
TEST_00913,15.0
TEST_00914,10.0
TEST_00915,10.0
TEST_00916,11.0
TEST_00917,10.0
TEST_00918,11.0
TEST_00919,18.0
TEST_00920,10.0
TEST_00921,10.0
TEST_00922,11.0
TEST_00923,10.0
TEST_00924,11.0
TEST_00925,1.0
TEST_00926,14.0
TEST_00927,8.0
TEST_00928,4.0
TEST_00929,10.0
TEST_00930,10.0
TEST_00931,10.0
TEST_00932,15.0
TEST_00933,11.0
TEST_00934,10.0
TEST_00935,11.0
TEST_00936,14.0
TEST_00937,10.0
TEST_00938,8.0
TEST_00939,15.0
TEST_00940,10.0
TEST_00941,10.0
TEST_00942,11.0
TEST_00943,10.0
TEST_00944,12.0
TEST_00945,2.0
TEST_00946,15.0
TEST_00947,10.0
TEST_00948,11.0
TEST_00949,7.0
TEST_00950,10.0
TEST_00951,10.0
TEST_00952,10.0
TEST_00953,10.0
TEST_00954,7.0
TEST_00955,11.0
TEST_00956,12.0
TEST_00957,8.0
TEST_00958,11.0
TEST_00959,10.0
TEST_00960,10.0
TEST_00961,10.0
TEST_00962,10.0
TEST_00963,10.0
TEST_00964,11.0
TEST_00965,16.0
TEST_00966,11.0
TEST_00967,12.0
TEST_00968,10.0
TEST_00969,2.0
TEST_00970,11.0
TEST_00971,10.0
TEST_00972,10.0
TEST_00973,13.0
TEST_00974,11.0
TEST_00975,11.0
TEST_00976,3.0
TEST_00977,10.0
TEST_00978,10.0
TEST_00979,17.0
TEST_00980,10.0
TEST_00981,10.0
TEST_00982,9.0
TEST_00983,10.0
TEST_00984,14.0
TEST_00985,10.0
TEST_00986,6.0
TEST_00987,10.0
TEST_00988,18.0
TEST_00989,3.0
TEST_00990,12.0
TEST_00991,3.0
TEST_00992,6.0
TEST_00993,11.0
TEST_00994,7.0
TEST_00995,10.0
TEST_00996,10.0
TEST_00997,11.0
TEST_00998,10.0
TEST_00999,10.0
TEST_01000,11.0
TEST_01001,10.0
TEST_01002,10.0
TEST_01003,10.0
TEST_01004,11.0
TEST_01005,10.0
TEST_01006,11.0
TEST_01007,12.0
TEST_01008,10.0
TEST_01009,6.0
TEST_01010,11.0
TEST_01011,9.0
TEST_01012,10.0
TEST_01013,7.0
TEST_01014,11.0
TEST_01015,11.0
TEST_01016,10.0
TEST_01017,19.0
TEST_01018,9.0
TEST_01019,9.0
TEST_01020,11.0
TEST_01021,10.0
TEST_01022,11.0
TEST_01023,10.0
TEST_01024,10.0
TEST_01025,13.0
TEST_01026,2.0
TEST_01027,13.0
TEST_01028,10.0
TEST_01029,11.0
TEST_01030,10.0
TEST_01031,11.0
TEST_01032,10.0
TEST_01033,10.0
TEST_01034,11.0
TEST_01035,10.0
TEST_01036,10.0
TEST_01037,11.0
TEST_01038,20.0
TEST_01039,10.0
TEST_01040,11.0
TEST_01041,10.0
TEST_01042,7.0
TEST_01043,10.0
TEST_01044,11.0
TEST_01045,2.0
TEST_01046,10.0
TEST_01047,8.0
TEST_01048,11.0
TEST_01049,11.0
TEST_01050,10.0
TEST_01051,11.0
TEST_01052,11.0
TEST_01053,10.0
TEST_01054,8.0
TEST_01055,11.0
TEST_01056,18.0
TEST_01057,19.0
TEST_01058,11.0
TEST_01059,11.0
TEST_01060,11.0
TEST_01061,4.0
TEST_01062,10.0
TEST_01063,10.0
TEST_01064,13.0
TEST_01065,10.0
TEST_01066,10.0
TEST_01067,10.0
TEST_01068,2.0
TEST_01069,11.0
TEST_01070,11.0
TEST_01071,10.0
TEST_01072,14.0
TEST_01073,8.0
TEST_01074,10.0
TEST_01075,10.0
TEST_01076,9.0
TEST_01077,10.0
TEST_01078,10.0
TEST_01079,2.0
TEST_01080,10.0
TEST_01081,6.0
TEST_01082,10.0
TEST_01083,9.0
TEST_01084,7.0
TEST_01085,10.0
TEST_01086,10.0
TEST_01087,10.0
TEST_01088,11.0
TEST_01089,10.0
TEST_01090,10.0
TEST_01091,3.0
TEST_01092,2.0
TEST_01093,8.0
TEST_01094,18.0
TEST_01095,2.0
TEST_01096,9.0
TEST_01097,2.0
TEST_01098,10.0
TEST_01099,12.0
TEST_01100,18.0
TEST_01101,2.0
TEST_01102,10.0
TEST_01103,10.0
TEST_01104,11.0
TEST_01105,2.0
TEST_01106,10.0
TEST_01107,10.0
TEST_01108,14.0
TEST_01109,10.0
TEST_01110,10.0
TEST_01111,10.0
TEST_01112,3.0
TEST_01113,11.0
TEST_01114,11.0
TEST_01115,11.0
TEST_01116,10.0
TEST_01117,11.0
TEST_01118,15.0
TEST_01119,10.0
TEST_01120,13.0
TEST_01121,11.0
TEST_01122,10.0
TEST_01123,11.0
TEST_01124,7.0
TEST_01125,11.0
TEST_01126,11.0
TEST_01127,2.0
TEST_01128,10.0
TEST_01129,14.0
TEST_01130,10.0
TEST_01131,7.0
TEST_01132,12.0
TEST_01133,3.0
TEST_01134,11.0
TEST_01135,11.0
TEST_01136,11.0
TEST_01137,1.0
TEST_01138,3.0
TEST_01139,10.0
TEST_01140,11.0
TEST_01141,11.0
TEST_01142,11.0
TEST_01143,11.0
TEST_01144,10.0
TEST_01145,3.0
TEST_01146,13.0
TEST_01147,11.0
TEST_01148,10.0
TEST_01149,10.0
TEST_01150,10.0
TEST_01151,5.0
TEST_01152,8.0
TEST_01153,13.0
TEST_01154,11.0
TEST_01155,10.0
TEST_01156,11.0
TEST_01157,12.0
TEST_01158,11.0
TEST_01159,10.0
TEST_01160,10.0
TEST_01161,10.0
TEST_01162,4.0
TEST_01163,4.0
TEST_01164,10.0
TEST_01165,12.0
TEST_01166,12.0
TEST_01167,11.0
TEST_01168,10.0
TEST_01169,12.0
TEST_01170,17.0
TEST_01171,11.0
TEST_01172,3.0
TEST_01173,11.0
TEST_01174,10.0
TEST_01175,10.0
TEST_01176,11.0
TEST_01177,10.0
TEST_01178,19.0
TEST_01179,10.0
TEST_01180,11.0
TEST_01181,11.0
TEST_01182,10.0
TEST_01183,10.0
TEST_01184,11.0
TEST_01185,14.0
TEST_01186,11.0
TEST_01187,11.0
TEST_01188,9.0
TEST_01189,10.0
TEST_01190,9.0
TEST_01191,10.0
TEST_01192,10.0
TEST_01193,10.0
TEST_01194,2.0
TEST_01195,14.0
TEST_01196,6.0
TEST_01197,11.0
TEST_01198,11.0
TEST_01199,17.0
TEST_01200,10.0
TEST_01201,10.0
TEST_01202,15.0
TEST_01203,13.0
TEST_01204,11.0
TEST_01205,11.0
TEST_01206,9.0
TEST_01207,2.0
TEST_01208,11.0
TEST_01209,8.0
TEST_01210,13.0
TEST_01211,17.0
TEST_01212,9.0
TEST_01213,10.0
TEST_01214,1.0
TEST_01215,20.0
TEST_01216,10.0
TEST_01217,10.0
TEST_01218,9.0
TEST_01219,11.0
TEST_01220,3.0
TEST_01221,8.0
TEST_01222,12.0
TEST_01223,10.0
TEST_01224,11.0
TEST_01225,11.0
TEST_01226,11.0
TEST_01227,10.0
TEST_01228,10.0
TEST_01229,5.0
TEST_01230,20.0
TEST_01231,9.0
TEST_01232,9.0
TEST_01233,9.0
TEST_01234,10.0
TEST_01235,10.0
TEST_01236,10.0
TEST_01237,8.0
TEST_01238,11.0
TEST_01239,12.0
TEST_01240,10.0
TEST_01241,10.0
TEST_01242,11.0
TEST_01243,10.0
TEST_01244,10.0
TEST_01245,10.0
TEST_01246,3.0
TEST_01247,11.0
TEST_01248,11.0
TEST_01249,11.0
TEST_01250,12.0
TEST_01251,11.0
TEST_01252,14.0
TEST_01253,10.0
TEST_01254,10.0
TEST_01255,10.0
TEST_01256,13.0
TEST_01257,12.0
TEST_01258,11.0
TEST_01259,11.0
TEST_01260,12.0
TEST_01261,11.0
TEST_01262,11.0
TEST_01263,21.0
TEST_01264,6.0
TEST_01265,11.0
TEST_01266,20.0
TEST_01267,10.0
TEST_01268,2.0
TEST_01269,10.0
TEST_01270,17.0
